Country,MSE,RMSE
Japan,NaN,NaN
United Kingdom,NaN,NaN
Germany,8094378.89818455,2845.06219583765
United States,1738993.28745258,1318.70894721033
Brazil,NaN,NaN
Australia,117048.447080509,342.123438367659
France,229153.594462345,478.699900211338
Canada,NaN,NaN
